"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"U7,U6";"LCD_2x16";2;"LCD";;;
2;"R43";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4.7";;;
3;"R42,R41,R40,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"460";;;
4;"Q5,Q4";"TO-92_Inline";2;"2N3904";;;
5;"S2,S3";"1351-01";2;"MPXV5010DP";;;
6;"R38,R37,R36,R35,R32,R31,R30,R23,R22,R21,R20,R19,R18,R11,R9,R4,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";17;"10k";;;
7;"J26";"PushButton";1;"PMAX";;;
8;"J25";"PushButton";1;"POWEROFF";;;
9;"MK1";"MIC";1;"Microphone";;;
10;"J18";"PushButton_LED";1;"BREATH";;;
11;"J14";"PushButton_LED";1;"MUTE";;;
12;"C30,C29,C28,C21,C19,C17,C16,C14,C13,C12,C11,C9,C8,C7,C1";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";15;"100nF - 100V";;;
13;"C27,C26,C25,C24,C23,C22,C20,C18,C10,C6,C4,C3,C2";"C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4";13;"1uF";;;
14;"C15,C5";"CP_Radial_D5.0mm_P2.00mm";2;"4.7uF 50V";;;
15;"U5,U3";"EXPRESS-40_DIP_40";2;"XPRESS-40";;;
16;"U4,U2";"TO-220-3_Vertical";2;"LM7805_TO220";;;
17;"U1";"DIP-8_W7.62mm_LongPads";1;"LM358";;;
18;"TP4,TP3,TP2,TP1";"LCD_DRILL";4;"TestPoint";;;
19;"S4,S1";"1351-01";2;"MPXV5004DP";;;
20;"R34,R33,R29,R17,R16,R15,R13,R12,R10,R8,R7,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";12;"470";;;
21;"R28,R27,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"2k2";;;
22;"R26,R25,R14,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"1k";;;
23;"R5,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"220k";;;
24;"Q3,Q2,Q1";"TO-220-3_Vertical";3;"STP24NF10 ";;;
25;"J24,J4";"PinHeader_1x08_P2.54mm_Horizontal";2;"Conn_01x08";;;
26;"J23";"PushButton";1;"VOL_MAX";;;
27;"J22";"PushButton";1;"VOL";;;
28;"J21";"PushButton";1;"VOL_MIN";;;
29;"J20";"PushButton";1;"+";;;
30;"J19";"PushButton";1;"EP";;;
31;"J17";"PushButton";1;"-";;;
32;"J16";"PushButton";1;"IP";;;
33;"J15";"PushButton";1;"HISTORY";;;
34;"J13";"PinHeader_1x02_P2.54mm_Vertical";1;"BUZZER_C";;;
35;"J12";"PH_4_pol";1;"I2C Interface LCD_C";;;
36;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"UART";;;
37;"J10";"PushButton";1;"BPM";;;
38;"J9";"PinHeader_1x02_Screwless_3.5mm";1;"SV3";;;
39;"J8";"PinHeader_1x02_Screwless_3.5mm";1;"SV2";;;
40;"J7,J2,J1";"PinHeader_1x02_Screwless_3.5mm";3;"TE_3.5mm_Screwless_P2";;;
41;"J6";"PH_4_pol";1;"I2C Interface LCD_M";;;
42;"J5";"PH_2_pol";1;"BUZZER";;;
43;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"UART_M";;;
44;"D4,D3,D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4007";;;
